u,v,corridor,corridor_type,approx_edge_betweenness
271823363,271823361,A.J.C. Brouwersweg,Named corridor,0.21657077393075355
271823361,271823360,A.J.C. Brouwersweg,Named corridor,0.2158986761710794
271822067,271823243,Mary's Fancy Roundabout,Named corridor,0.21128309572301424
1967810911,5292695648,Mary's Fancy Roundabout,Named corridor,0.21026221995926678
271823352,271823349,A.J.C. Brouwersweg,Named corridor,0.20706975560081464
1882266679,1947004343,Indigo Bay Roundabout,Named corridor,0.20658604887983706
271823355,4284485480,A.J.C. Brouwersweg,Named corridor,0.2064714867617108
5092258956,271823352,A.J.C. Brouwersweg,Named corridor,0.2058121181262729
4284485480,4284485479,A.J.C. Brouwersweg,Named corridor,0.20574847250509165
1947004343,1882266684,Indigo Bay Roundabout,Named corridor,0.2054786150712831
4284485479,5092258956,A.J.C. Brouwersweg,Named corridor,0.2050254582484725
1882266675,1882266679,Indigo Bay Roundabout,Named corridor,0.2049058044806517
2669896558,4284425952,Zagersgut Road,Named corridor,0.2045366598778004
4284425952,1639802185,Zagersgut Road,Named corridor,0.2039765784114053
1639802185,3657907542,Zagersgut Road,Named corridor,0.20285641547861505
3657907542,271823238,Zagersgut Road,Named corridor,0.20230142566191445
271823238,1967810911,Zagersgut Road,Named corridor,0.20202393075356415
271823360,4284485717,A.J.C. Brouwersweg,Named corridor,0.20027749490835028
4284485717,4284485708,A.J.C. Brouwersweg,Named corridor,0.19991598778004072
4284485708,4284485698,A.J.C. Brouwersweg,Named corridor,0.19955448065173115
4284485698,271823355,A.J.C. Brouwersweg,Named corridor,0.19886710794297352
271823349,303291328,Sarsapilla Road,Named corridor,0.1945977596741344
303291328,303291325,Arlet Peters Road,Named corridor,0.1935794297352342
303291325,303291457,Arlet Peters Road,Named corridor,0.1920519348268839
303291457,303291459,Arlet Peters Road,Named corridor,0.19103360488798368
271823245,1967810908,Mary's Fancy Roundabout,Named corridor,0.19026476578411405
303291459,5318904038,Arlet Peters Road,Named corridor,0.1900152749490835
5111723776,2669896778,A.T. Illidge Road,Named corridor,0.18852087576374743
1639802195,2669896497,A.T. Illidge Road,Named corridor,0.18809572301425662
271823243,4284425951,A.T. Illidge Road,Named corridor,0.18786659877800407
2669896778,4284426424,A.T. Illidge Road,Named corridor,0.1878385947046843
4284425951,5105834361,A.T. Illidge Road,Named corridor,0.18751272912423625
2669896497,5111723776,A.T. Illidge Road,Named corridor,0.18738289205702646
5105834361,1639802195,A.T. Illidge Road,Named corridor,0.18715885947046842
4283347855,1033359701,Osborne Kruythoff Roundabout,Named corridor,0.18669042769857433
4284426424,1639802221,A.T. Illidge Road,Named corridor,0.1856109979633401
1033359701,1033359915,A.J.C. Brouwersweg,Named corridor,0.18160386965376782
1033359915,271812481,A.J.C. Brouwersweg,Named corridor,0.18113034623217922
1967810908,271823238,Zagersgut Road,Named corridor,0.1810081466395112
271812481,1882266675,A.J.C. Brouwersweg,Named corridor,0.18100560081466394
271823238,3657907542,Zagersgut Road,Named corridor,0.1807764765784114
3657907542,1639802185,Zagersgut Road,Named corridor,0.1803131364562118
1639802185,4284425952,Zagersgut Road,Named corridor,0.1793966395112016
4284425952,2669896558,Zagersgut Road,Named corridor,0.17893839103869652
5292695648,271822067,Mary's Fancy Roundabout,Named corridor,0.17688136456211812
271823360,271823361,A.J.C. Brouwersweg,Named corridor,0.17393075356415477
271823361,271823363,A.J.C. Brouwersweg,Named corridor,0.17358452138492872
2970143311,5111284779,Union Road,Named corridor,0.17032586558044804
5111284779,5111284814,Union Road,Named corridor,0.16942464358452136
5318904038,250656105,Union Road,Named corridor,0.16878309572301425
5111284814,303291719,Union Road,Named corridor,0.1685336048879837
1639802195,5105834361,A.T. Illidge Road,Named corridor,0.16817718940936863
5105834361,4284425951,A.T. Illidge Road,Named corridor,0.16802189409368634
4284425951,271823245,A.T. Illidge Road,Named corridor,0.16786659877800406
250656105,2970143312,Union Road,Named corridor,0.16784623217922606
303291719,5111244021,Union Road,Named corridor,0.16764256619144602
1927155335,1033359888,Osborne Kruythoff Roundabout,Named corridor,0.16724796334012218
2970143312,2970143311,Union Road,Named corridor,0.16695010183299389
5111244021,2970143305,Union Road,Named corridor,0.16675152749490835
5111723776,2669896497,A.T. Illidge Road,Named corridor,0.16543533604887983
2970143305,2970143304,Union Road,Named corridor,0.16542260692464358
2669896497,1639802195,A.T. Illidge Road,Named corridor,0.16512983706720977
2970143304,250656108,Union Road,Named corridor,0.16498217922606923
5292700111,1882266709,Indigo Bay Roundabout,Named corridor,0.16462576374745416
1639802221,4284426424,A.T. Illidge Road,Named corridor,0.16426171079429736
250656108,2970143301,Union Road,Named corridor,0.16410132382892056
2970143301,2970143300,Union Road,Named corridor,0.1632459266802444
4284426424,2669896778,A.T. Illidge Road,Named corridor,0.16292515274949082
2669896778,5111723776,A.T. Illidge Road,Named corridor,0.16258910386965375
1639802221,1109617065,A.T. Illidge Road,Named corridor,0.16245417515274949
2970143300,1033360597,Union Road,Named corridor,0.1623905295315682
1033360597,2970143297,Union Road,Named corridor,0.16214103869653768
1109617065,5327905185,A.T. Illidge Road,Named corridor,0.16165987780040733
5327905185,1109617127,A.T. Illidge Road,Named corridor,0.16126272912423625
2970143297,1927155335,Union Road,Named corridor,0.16112270875763746
1109617127,5105174587,A.T. Illidge Road,Named corridor,0.16086558044806518
5105174587,3656887991,A.T. Illidge Road,Named corridor,0.16015529531568226
3656887991,1639802246,A.T. Illidge Road,Named corridor,0.1593609979633401
1639802246,5079806047,A.T. Illidge Road,Named corridor,0.1577724032586558
