corridor,corridor_type,modeled_delay_veh_hours,directed_segments,network_length_km,maximum_v_c,modeled_delay_share_pct
A.J.C. Brouwersweg,Named corridor,1771.9788565986041,35,5.536399987230914,4.061618072544433,45.85069699992868
G. A. Arnell Boulevard,Named corridor,422.57126115660566,6,1.8159099309322475,2.6144640687356326,10.93420882761594
Indigo Bay Roundabout,Named corridor,368.0689181550793,8,0.11357917952471493,4.408484712339223,9.523937815948194
A.T. Illidge Road,Named corridor,275.13917605482925,112,7.558682263449589,2.307542889503494,7.11934171625259
Zagersgut Road,Named corridor,134.03845765360424,16,1.2179296125773194,2.090111645943174,3.4683013769194995
Union Road,Named corridor,120.9447713970129,95,4.051416683261648,1.883880488811913,3.129496746758444
Osborne Kruythoff Roundabout,Named corridor,114.84659927567675,7,0.11635152278838899,3.866450118397655,2.9717039823879303
Sucker Garden Road,Named corridor,114.46010376311821,46,5.551453595273078,1.9238757577254872,2.9617032487041377
Welfare Road,Named corridor,89.35684943101252,25,2.723165972695089,2.1265311580968738,2.3121460015579016
Arlet Peters Road,Named corridor,86.16823238563201,4,1.0532089880278175,2.006298027891955,2.229639196551668
L.B. Scott Road,Named corridor,60.35103291580604,76,5.2202300749021555,1.6689817237123878,1.561608319168657
Bush Road,Named corridor,35.94918838208902,20,2.1020039446538537,1.8976640022273175,0.9302003450901776
Soualiga Road,Named corridor,20.455825655818305,18,2.222629569087319,1.604167370190695,0.5293030786093361
Coralita Road,Named corridor,18.262882457273356,4,1.4302743068343968,1.3426713679333073,0.4725597524911309
Sarsapilla Road,Named corridor,17.63850957880496,3,0.5339341068027239,2.0612683808387886,0.4564038420754839
Walter A. Nisbeth Road,Named corridor,17.60623459242684,34,3.452076791374803,1.323268685916318,0.45556871325010917
Little Bay Roundabout,Named corridor,17.201089410737534,6,0.1065569923084492,2.6386695149816846,0.4450854115462303
Unresolved multi-name edge,Residual road group,16.598546984395753,76,22.426974746158816,1.642474302370208,0.4294943732463546
Unnamed / Residential,Residual road group,16.291745947864896,840,89.36618778652218,1.4144618369796118,0.4215557675949064
Mary's Fancy Roundabout,Named corridor,15.702905740052728,6,0.08828910242580665,2.426469001902652,0.40631927995328976
Crocus Road,Named corridor,14.288894417377326,4,0.5732767177574277,1.6964100313374624,0.3697311432105585
Hulda B. Richardson Road,Named corridor,13.980206662100427,12,0.6375687224181087,1.8618459995685945,0.3617437179192897
Salt Pickers Roundabout,Named corridor,13.031357531080994,8,0.11353768788494167,2.7293021342661152,0.3371918482155347
Middle Region Road,Named corridor,12.491069223752945,72,3.8154737035266653,1.399851637961202,0.3232116613867512
Little Bay Road,Named corridor,9.521112564146646,10,1.8414724795464688,1.0920923686969146,0.2463627856818107
Church Hill Roundabout,Named corridor,8.754650661084831,6,0.12221774601821289,2.0446607404113406,0.2265302620891002
Octavius L. Richardson Road,Named corridor,8.094353737942948,10,0.5072597391928023,2.281076763411934,0.20944480193238132
Panther Road,Named corridor,6.556397039390095,2,0.21501277503860103,1.6116245640472058,0.16964952654195317
Arch Road,Named corridor,4.318421434026641,42,3.0971541613220017,1.1432244107328744,0.11174096798741058
Lion Road,Named corridor,3.263346991423045,12,0.9505323289916408,1.2896290019376253,0.08444047374051762
Ginger Road,Named corridor,3.0796039758228075,4,1.0839284848565305,1.106186575731794,0.07968604605490102
Guana Bay Road,Named corridor,2.7368930668658,24,4.8687927829676,0.9386478587633337,0.07081825737523204
Oyster Pond Road,Named corridor,2.5129835055698453,32,5.8287675909462235,0.9393287909854158,0.06502450345309178
Welgelegenweg,Named corridor,2.1924755510978304,30,1.8574729014238778,1.3047450473844395,0.05673122554413749
Cay Bay Road,Named corridor,2.0675798921971023,36,2.0618284438380177,1.2676579603928795,0.053499497924172475
Dominica Drive,Named corridor,2.0584843963263455,2,0.24275893342583407,1.4144618369796118,0.05326414814915615
Voorstraat,Named corridor,1.8749387251387466,14,1.322719090176154,1.3749853279038682,0.048514826833084994
Wellington Road,Named corridor,1.7641180928852045,22,1.2596782297986877,1.2375766182450982,0.04564729643796996
Bishop Hill Road,Named corridor,1.4232088811137258,18,1.8351855578513503,0.8727988488436776,0.03682612742954122
Unnamed / Living Street,Residual road group,1.270262948847345,10,0.8486416047559603,1.1309400208916416,0.032868587207431244
Billy Folly Road,Named corridor,1.2245544940607986,28,3.074137242864719,1.09000613576884,0.03168586174603618
Wrigley Street,Named corridor,1.0304310069105451,2,0.07505487111906739,1.218950007712023,0.026662835000118273
Cashew Tree Road,Named corridor,1.0198601054392415,2,0.35910913893624047,1.1355540557887418,0.02638930848563874
