u,v,key,corridor,corridor_type,multi_name_source,highway,length_m,flow_vph,capacity_vph,v_c,freeflow_time_s,modeled_time_s,delay_veh_hours,geometry_wkt
1033359915,271812481,0,A.J.C. Brouwersweg,Named corridor,False,primary,1360.522236407301,5686.265301562206,2800.0,2.0308090362722164,151.3890197602306,537.6332319815112,610.0797394119714,"LINESTRING (-63.0790767 18.0315368, -63.0790455 18.0314856, -63.0787216 18.0310088, -63.0786838 18.030939, -63.0786608 18.0308488, -63.0786308 18.0307405, -63.07866 18.0303489, -63.0786769 18.0301662, -63.078719 18.0298411, -63.0787581 18.0294085, -63.0787363 18.0287081, -63.0787285 18.0286281, -63.0787203 18.0285571, -63.0786936 18.0283522, -63.0786586 18.0282082, -63.0786054 18.0280487, -63.0785236 18.0278552, -63.078458 18.0277206, -63.0783616 18.0275887, -63.0782153 18.027447, -63.0778722 18.0271477, -63.0777094 18.0270153, -63.0776424 18.0269476, -63.0775452 18.02682, -63.0774763 18.0267131, -63.0774259 18.0265848, -63.0773851 18.0264473, -63.0773272 18.0262228, -63.0772815 18.0260021, -63.0772664 18.0259129, -63.0772189 18.0258058, -63.0771591 18.025679, -63.0770821 18.0255592, -63.0770314 18.0254673, -63.0769533 18.0253924, -63.0768572 18.02534, -63.076778 18.0253155, -63.0766793 18.0253037, -63.07658 18.0253153, -63.0764859 18.0253428, -63.0764306 18.0253724, -63.0763471 18.0254165, -63.0761392 18.0255702, -63.0760341 18.0256117, -63.0759115 18.0256346, -63.0757552 18.0256174, -63.0755863 18.0255421, -63.0754641 18.0254573, -63.0752939 18.025333, -63.0751228 18.025209, -63.075012 18.0251668, -63.0748077 18.025099, -63.0745851 18.025076, -63.0744195 18.0250939, -63.074272 18.0251449, -63.0741646 18.0252072, -63.0739891 18.0253477, -63.0738817 18.0254688, -63.0737627 18.0255869, -63.0736846 18.0256749, -63.073596 18.0257317, -63.0734316 18.0257907, -63.0732896 18.0258186, -63.0731584 18.0258705, -63.0730291 18.0259202, -63.0728779 18.0259907, -63.0727678 18.0260746, -63.0726684 18.0261707, -63.0724843 18.0263481, -63.0723421 18.0264909, -63.072204 18.0265993, -63.0720831 18.0266672)"
271823298,271823349,0,A.J.C. Brouwersweg,Named corridor,False,primary,628.8115065911499,3530.7020401569407,1400.0,2.521930028683529,69.96957127886976,494.52324506233276,416.38125616205474,"LINESTRING (-63.0718585 18.0273647, -63.0718801 18.0274755, -63.0718989 18.0275992, -63.0719049 18.027728, -63.0719016 18.0278166, -63.0718929 18.0279065, -63.0718875 18.0279919, -63.0718915 18.0280978, -63.0718945 18.0281981, -63.0719038 18.0283162, -63.0719106 18.0284929, -63.0719049 18.0285743, -63.0718727 18.0286997, -63.0718385 18.0288021, -63.0717959 18.0289225, -63.0717674 18.0290221, -63.0717418 18.0290966, -63.0716722 18.0293086, -63.071634 18.0294158, -63.0716092 18.0295395, -63.0715898 18.0296676, -63.0715811 18.0297767, -63.071577 18.0298755, -63.0715777 18.0299788, -63.0715931 18.0300763, -63.0716112 18.0302026, -63.0716434 18.0303052, -63.0716622 18.0303971, -63.0716676 18.0304933, -63.0716672 18.0305853, -63.071614 18.0306782, -63.0715488 18.030751, -63.0714774 18.0308094, -63.0713779 18.0308689, -63.0712545 18.0309059, -63.0710949 18.0309416, -63.0710037 18.0309697, -63.0708817 18.0310232, -63.0708106 18.0310564, -63.0707274 18.0311112, -63.0706109 18.0311905, -63.0705241 18.031273, -63.0704368 18.0313609, -63.0703243 18.0314792, -63.0702867 18.0315235, -63.0702629 18.0315551, -63.0701749 18.0316771, -63.0701029 18.0317697, -63.0700322 18.031852, -63.0697946 18.0320609)"
271986480,5292575723,0,G. A. Arnell Boulevard,Named corridor,False,tertiary,842.8399567490836,2339.4528948738716,900.0,2.5993921054154128,80.27960669120716,630.0529488611727,357.26912135111377,"LINESTRING (-63.0713078 18.0270763, -63.0712364 18.0271336, -63.0711823 18.0271939, -63.0711158 18.0272985, -63.070976 18.0275356, -63.0708859 18.0276656, -63.0707964 18.0277585, -63.0707296 18.0278197, -63.0706378 18.0278918, -63.0705524 18.0279476, -63.0704092 18.0280289, -63.0700917 18.028196, -63.0698235 18.0283606, -63.0695801 18.0284954, -63.0693782 18.0285752, -63.0692485 18.028611, -63.0691313 18.0286223, -63.0690213 18.0286158, -63.0689346 18.0285988, -63.0687798 18.0285389, -63.0686668 18.0284648, -63.0685711 18.0283711, -63.0685055 18.0282898, -63.0684322 18.0281875, -63.0683477 18.0280228, -63.068301 18.0278892, -63.0682626 18.0277279, -63.0682386 18.0274466, -63.0682491 18.0271743, -63.0682465 18.0270706, -63.0682263 18.0269425, -63.0681791 18.0267637, -63.068057 18.0265131, -63.0679772 18.0263373, -63.067943 18.026203, -63.0679136 18.0260719, -63.0678678 18.0259168, -63.0678173 18.0258153, -63.0677649 18.0257526, -63.0676944 18.02569, -63.0675878 18.0256296, -63.0675105 18.0256063, -63.0674129 18.0255925, -63.0662172 18.0254907)"
271812481,1882266675,0,A.J.C. Brouwersweg,Named corridor,False,primary,46.8638147770416,5686.265301562206,1400.0,4.061618072544433,5.214664480645356,218.08441976568653,336.23163978593544,"LINESTRING (-63.0720831 18.0266672, -63.0720141 18.0266968, -63.07193 18.0267327, -63.0718342 18.0267636, -63.0717634 18.0267833, -63.0716648 18.0268013)"
1033359701,1033359915,0,A.J.C. Brouwersweg,Named corridor,False,primary,26.70018440530724,5686.265301562206,1400.0,4.061618072544433,2.9710023374632786,124.25139206808394,191.56457552365822,"LINESTRING (-63.0792209 18.0317339, -63.0791479 18.0316366, -63.0790767 18.0315368)"
1882266675,1882266679,0,Indigo Bay Roundabout,Named corridor,False,primary,12.895131747354505,6171.878597274912,1400.0,4.408484712339223,1.434876478069265,82.72974475193993,139.37279376882933,"LINESTRING (-63.0716648 18.0268013, -63.0716042 18.0268074, -63.0715496 18.0268333)"
4283347855,1033359701,0,Osborne Kruythoff Roundabout,Named corridor,False,primary,14.907812393220873,5413.030165756717,1400.0,3.866450118397655,1.65883294266385,57.26763725682235,83.6144820095006,"LINESTRING (-63.0792992 18.0318415, -63.0792837 18.0317993, -63.0792569 18.0317625, -63.0792209 18.0317339)"
5292700111,1882266709,0,Indigo Bay Roundabout,Named corridor,False,primary,15.552358831234539,5327.342068637247,1400.0,3.805244334740891,1.7305533826755524,56.156557709327195,80.54053957700116,"LINESTRING (-63.0715251 18.0270734, -63.0715629 18.0271032, -63.0716079 18.0271215, -63.0716566 18.027127)"
303291325,303291457,0,Arlet Peters Road,Named corridor,False,tertiary,864.3393231531907,1669.1633037564443,900.0,1.854625893062716,82.32739840446321,228.43100139888912,67.7418812958044,"LINESTRING (-63.071029 18.0323597, -63.0710641 18.0323627, -63.0710954 18.0323529, -63.0711301 18.0323227, -63.0711569 18.0322962, -63.0713052 18.0320712, -63.0714597 18.0318944, -63.0717464 18.0316425, -63.0719668 18.0315164, -63.0722547 18.0313928, -63.0725379 18.0313127, -63.0729054 18.0312477, -63.0733114 18.0311619, -63.0734428 18.0311627, -63.0736101 18.0312049, -63.0737194 18.0312929, -63.0737892 18.0313656, -63.0738334 18.0314428, -63.0741258 18.032088, -63.0742166 18.0322242, -63.0743353 18.0323339, -63.0745263 18.0324922, -63.0746538 18.0326395, -63.0747187 18.0327006, -63.0747662 18.0327397, -63.0748225 18.0327492, -63.0748647 18.0327276, -63.0748976 18.0326861, -63.0749056 18.0326351, -63.074901 18.0325988, -63.0748107 18.0323639, -63.0747856 18.0322013, -63.0748098 18.0321052, -63.0748386 18.032053, -63.0748929 18.0320007, -63.074958 18.0319554, -63.0750438 18.0319337, -63.0751343 18.0319541, -63.0751833 18.0320077, -63.075255 18.0321235, -63.075478 18.0324313, -63.0756292 18.0326288, -63.0759614 18.0329499, -63.0760791 18.033068, -63.0762826 18.033242, -63.0763828 18.0333442)"
1882266679,1947004343,0,Indigo Bay Roundabout,Named corridor,False,primary,6.432618758939931,6102.992706033986,1400.0,4.35928050430999,0.7157750328129524,39.48856615615138,65.73057261619826,"LINESTRING (-63.0715496 18.0268333, -63.0715081 18.0268756)"
